urg,bairro,zona_fiscal,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,STA EUGÊNIA,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,STA EUGÊNIA,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,STA EUGÊNIA,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,STA EUGÊNIA,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,STA EUGÊNIA,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,STA EUGÊNIA,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,STA EUGÊNIA,2,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,STA EUGÊNIA,3,até 500 m²,0.0,500.0,1.464
CENTRO,STA EUGÊNIA,3,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,STA EUGÊNIA,3,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,STA EUGÊNIA,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,STA EUGÊNIA,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,STA EUGÊNIA,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,STA EUGÊNIA,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,STA EUGÊNIA,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,STA EUGÊNIA,3,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,MOQUETA,1,até 500 m²,0.0,500.0,1.464
CENTRO,MOQUETA,1,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,MOQUETA,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,MOQUETA,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,MOQUETA,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,MOQUETA,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,MOQUETA,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,MOQUETA,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,MOQUETA,1,acima de  1.000.000 m²,1000000.0,,0.108
