urg,bairro,codigo_logradouro,faixa_area,area_min,area_max,valor_ufinig_m2
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.049
AUSTIN,Riachão,00327-85,AT É 500 M²,0.0,500.0,0.837
AUSTIN,Riachão,00327-85,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,0.669
AUSTIN,Riachão,00327-85,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,0.535
AUSTIN,Riachão,00327-85,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,0.241
AUSTIN,Riachão,00327-85,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.108
AUSTIN,Riachão,00327-85,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.076
AUSTIN,Riachão,00327-85,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.061
AUSTIN,Riachão,00327-85,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.055
AUSTIN,Riachão,00327-85,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.049
AUSTIN,Cacuia,00327-86,AT É 500 M²,0.0,500.0,0.837
AUSTIN,Cacuia,00327-86,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,0.669
AUSTIN,Cacuia,00327-86,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,0.535
AUSTIN,Cacuia,00327-86,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,0.241
AUSTIN,Cacuia,00327-86,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.108
AUSTIN,Cacuia,00327-86,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.076
AUSTIN,Cacuia,00327-86,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.061
AUSTIN,Cacuia,00327-86,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.055
AUSTIN,Cacuia,00327-86,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.049
AUSTIN,Rodilândia,00327-87,AT É 500 M²,0.0,500.0,0.837
AUSTIN,Rodilândia,00327-87,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,0.669
AUSTIN,Rodilândia,00327-87,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,0.535
AUSTIN,Rodilândia,00327-87,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,0.241
AUSTIN,Rodilândia,00327-87,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.108
AUSTIN,Rodilândia,00327-87,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.076
AUSTIN,Rodilândia,00327-87,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.061
AUSTIN,Rodilândia,00327-87,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.055
AUSTIN,Rodilândia,00327-87,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.049
AUSTIN,Inconfidência,00327-88,AT É 500 M²,0.0,500.0,0.837
AUSTIN,Inconfidência,00327-88,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,0.669
AUSTIN,Inconfidência,00327-88,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,0.535
AUSTIN,Inconfidência,00327-88,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,0.241
AUSTIN,Inconfidência,00327-88,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.108
AUSTIN,Inconfidência,00327-88,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.076
AUSTIN,Inconfidência,00327-88,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.061
AUSTIN,Inconfidência,00327-88,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.055
AUSTIN,Inconfidência,00327-88,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.049
